scenario,policy,review_rate,tp,fp,effective_review_count,avoided_loss,review_cost_total,friction_cost_total,operating_cost_total,net_benefit,net_benefit_per_effective_review
Conservative,Top 15%,0.15,63994,4843,160854.0,1919.8200000000002,3217.08,968.6,4185.68,-2265.8599999999997,-0.014086438633792133
Conservative,Top 16%,0.16,67670,5757,182810.0,2030.1000000000001,3656.2000000000003,1151.4,4807.6,-2777.5,-0.015193370165745856
Conservative,Top 17%,0.17,71205,6811,207425.0,2136.15,4148.5,1362.2,5510.7,-3374.55,-0.01626877184524527
Conservative,Top 18%,0.18,74629,7976,234149.0,2238.8700000000003,4682.9800000000005,1595.2,6278.18,-4039.3100000000004,-0.017251023920665902
Conservative,Top 19%,0.19,77988,9206,262108.0,2339.64,5242.16,1841.2,7083.36,-4743.72,-0.018098341141819404
Conservative,Top 20%,0.2,81176,10607,293316.0,2435.28,5866.32,2121.4,7987.719999999999,-5552.44,-0.01892989131175933
Conservative,Top 21%,0.21,84257,12115,326557.0,2527.71,6531.14,2423.0,8954.14,-6426.43,-0.019679351537403883
Conservative,Top 22%,0.22,87231,13730,361831.0,2616.9300000000003,7236.62,2746.0,9982.619999999999,-7365.69,-0.02035671349331594
Conservative,Top 23%,0.23,89941,15609,402121.0,2698.23,8042.42,3121.8,11164.220000000001,-8465.990000000002,-0.021053339666418817
Conservative,Top 24%,0.24,92633,17507,442773.0,2778.99,8855.460000000001,3501.4,12356.86,-9577.87,-0.021631558383189583
Conservative,Top 25%,0.25,95101,19628,487661.0,2853.03,9753.22,3925.6,13678.82,-10825.789999999999,-0.022199417218108478
Conservative,Top 26%,0.26,97415,21903,535475.0,2922.4500000000003,10709.5,4380.6,15090.1,-12167.65,-0.02272309631635464
Conservative,Top 27%,0.27,99597,24310,585797.0,2987.91,11715.94,4862.0,16577.940000000002,-13590.03,-0.023199214062209265
Conservative,Top 28%,0.28,101611,26885,639311.0,3048.33,12786.220000000001,5377.0,18163.22,-15114.890000000001,-0.023642468219692764
Conservative,Top 28%,0.29,103449,29636,696169.0,3103.47,13923.380000000001,5927.2,19850.58,-16747.11,-0.024056098447359765
Conservative,Top 30%,0.3,105116,32558,756276.0,3153.48,15125.52,6511.6,21637.120000000003,-18483.64,-0.024440336596692213
